"Area","Region_name","Year","Obesity","Geo_zones","Overweight","Overweight_minor_age","Population","More_65","Foreign_perc","Foreign_ue_perc","More_65_alone","AtLeast_1stGr_2ndry_school_perc","More_university_perc","unemployment_perc","mortality_cancer_digestive_perc","mortality_cancer_stomach_perc","mortality_diabetes_perc","mortality_mental_disorders_perc","mortality_blood_perc","mortality_heart_perc","mortality_digestive_perc","mortality_liver_perc","mortality_suicide_simil_perc","Cigarettes_perc","Complete_breakfast_perc","Daily_cheese_perc","Daily_vegetables_perc","Dinner_principal_meal_perc","Red_meat_more_weekly_perc","Fish_more_weekly_perc","No_sport_perc","Regular_sport_perc","Geo_zones_Weekly_alcol_perc","Geo_zones_beer05more_daily_perc","Geo_zones_wine05more_daily_perc","bad_wealth_perc","life_exp","life_exp_good_wealth","life_exp_no_limitations","drug_consumption_perc","Avg_annual_wage","Smoking_perc","Adequate_nutrition_perc","Alcohol_cons_perc","Life_satisfaction_perc","Sex","Ageing_index","Mean_family_components","wedding_perc","health_vs_gdp_expend_perc","family_health_vs_gdp_expend_perc","Urban_green","Medical_specialists_perc","Early_childhood_services_perc","Municipal_waste_generated","Separate_collection_municipal_waste_perc","Air_quality_PM2.5_perc"
1,"Piemonte",2010,8.86,"Nord Ovest",41.85,29.22,2128733,20.15,8.45,2.68,18.62,81.63,10.5,6.91,11.19,1.8,2.46,2.2,35.8,11.87,4.34,1.41,1.26,12.69,75.6,31.44,56.62,32.49,77.17,53.66,28.67,30.06,13,1.33,6.74,5.13,79.22,59.55,65.66,36.98,25276.6,27.5,23.9,32.3,45.3,"Male",178.55,2.25,3.2,8.68,1.92,NA,NA,15.4,511,50.7,95.8
1,"Piemonte",2011,9.43,"Nord Ovest",41.03,23.71,2131684,20.43,8.95,2.58,18.67,82.6,10.02,6.79,11.48,1.8,2.51,2.5,34.91,11.85,4.05,1.1,1.45,13.43,78.55,33.03,55.23,35.42,74.76,52.79,27.12,28.51,14.35,2.11,5.94,4.35,79.35,59.71,66.03,35.18,26001.8,28.2,22.9,33.8,48.4,"Male",179.52,2.25,3,8.49,1.99,24.9,26.8,15,489,51.4,96.2
1,"Piemonte",2012,9.1,"Nord Ovest",43.08,20.26,2135647,20.82,7.95,35.93,18.49,83.05,10.27,8.14,11.23,1.68,2.67,2.52,34.82,11.88,4.08,1.09,1.31,12.41,79.19,30.88,56.65,36.84,77.48,53.16,25.13,29.89,10.36,1.06,4.7,4.15,79.62,61.36,65.9,36.4,26274.6,25.4,22.3,26.2,41.3,"Male",181.83,2.27,3.2,8.79,2.14,24.8,25.6,13.2,459,53.3,92.6
1,"Piemonte",2013,9.08,"Nord Ovest",40.52,18.41,2137449,21.21,8.4,36.23,17.64,79.74,11.74,10.12,10.99,1.64,2.59,2.55,33.07,10.97,3.76,1.01,1.36,13.23,79.07,32.38,58.01,35,73.26,53.45,28.96,23.85,11.09,1.27,5.17,5.85,79.73,59.37,65.02,36.42,26723,25.9,24.9,28.7,37.3,"Male",184.76,2.26,2.9,8.64,2.21,24.8,26,13.5,453,54.6,97.1
1,"Piemonte",2014,10.04,"Nord Ovest",41.64,16.18,2132496,21.64,9.29,36.87,15.94,84.72,11.61,10.66,10.59,1.88,2.31,2.53,31.31,10.45,3.59,1.1,1.33,13.82,77.31,29.13,53.39,32.44,70.4,53.57,29.15,27.33,12.17,1.52,4.99,5.41,80.22,59.81,65.85,37.14,27190.4,24.2,19.8,27.3,41.5,"Male",188.52,2.24,2.8,8.79,2.32,24.9,26.1,12.4,465,54.3,94.7
1,"Piemonte",2015,9.26,"Nord Ovest",40.32,18.7,2124854,22,9.28,2.11,16.46,85.45,11.42,10,10.51,1.53,2.63,2.76,32.99,10.73,3.63,0.97,1.28,13.06,79.41,31.66,56.84,36.81,69.35,57.13,27.32,28.81,13.21,1.35,5,5.26,79.9,58.88,65.26,40.42,27379.9,25.1,21.5,28.6,40.2,"Male",192.39,2.25,3,8.69,2.4,25.2,25.7,12.2,467,55.1,94.7
1,"Piemonte",2016,9.52,"Nord Ovest",41.02,25.82,2119945,22.26,9.26,37.17,18.67,86.02,11.69,8.84,10.9,1.63,2.72,3.1,33.85,10.76,3.79,0.99,1.18,12.51,78.55,28.12,54.39,31.82,68.42,54.15,28.72,32.01,14.02,1.19,4.97,5.49,80.45,59.81,65.37,42.35,27679,24.9,18.8,25.2,46.4,"Male",196.23,2.24,3.1,8.54,2.35,25.3,26.6,12.4,472,56.6,92.5
1,"Piemonte",2017,10.58,"Nord Ovest",40.29,20.09,2114985,22.5,9.29,36.69,19.51,86.7,12.25,8.19,10.51,1.45,2.85,3.32,33.41,10.56,3.9,1.11,1.06,12.57,79.33,29.24,55.33,30.82,69.46,54.91,29.72,30.35,11.27,1.17,4.07,4.86,80.43,59.68,64.26,39.99,27435.8,25.7,20.4,25.4,45.1,"Male",200.2,2.2,2.9,8.32,2.36,25.6,27,13.6,473,59.3,94.9
1,"Piemonte",2018,11.34,"Nord Ovest",39.18,24.58,2107249,22.76,9.49,36.04,23.09,87.57,13.1,7.55,10.4,1.54,2.81,3.35,32.32,9.95,3.52,0.84,1.3,12.49,77.32,28.56,50.32,29.39,66.09,53.99,23.34,32.69,12.12,1.58,4.28,3.98,80.48,60.95,65.71,41.99,27482.2,24.6,19.2,27.1,44.9,"Male",204.57,2.18,3,8.34,2.37,25.8,27.2,13.8,498,61.3,94.4
1,"Piemonte",2019,10.02,"Nord Ovest",42.01,24,2099041,23.05,9.29,35.53,22.82,88.35,13.72,6.34,10.56,1.29,2.73,3.22,31.67,9.85,3.63,0.91,1.14,11.92,78.34,27.36,52.03,31.83,67.1,57.89,25.73,31.89,11.5,1.16,3.58,5.59,80.76,60.71,65.64,39.6,27663.3,25.6,20.2,24.7,49.7,"Male",209.65,2.19,2.8,8.49,2.38,26,27.6,14.6,496,63.2,88.6
